Coder,Letter Code,Gender,City,State,Country,Postal Code,Location,BingGeo,Latitude,Longitude,Month,Year,Which column?,Letter Title,Letter number,Page #,Reference: Title or topic,Reference: Month,Reference: Year,Reference: Page,In Reply To: Full Letter Code,Did the Editors reply in-line?,AI or robotics,Academia and research,Announcement for Byte readers,"Arts, music","BBS, modems, telecommunications",Club or user group,"Commentary, opinion",Computer Education/Teaching/Library,Computer store or other consumer/retail,Correction to an article,Criticism of Byte,Disability,"Family, children, spouse",Gaming,Identifies as novice,Includes source code,Notes their own age,Personal finance,Piracy/CopyProtection,Praise for Byte,Printers,Product/service recommendation or warning,Programming,Representation of gender and race,"Request for help, assistance, advice",Request to Byte editors re: magazine,Software Distributor/Distribution,Technical tip or how-to,"Work, professional life, business finances",Other
KD,1975.10.01L,Unknown,New York,NY,USA,,"New York, NY, USA","New York, NY, United States",40.71455002,-74.00714111,10,1975,Letters,"""It's all in the ephemeris...""",1,8,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Amateur radio; satellite
KD,1975.10.02L,Male,Denton,TX,USA,,"Denton, TX, USA","Denton, TX, United States",33.21659088,-97.13162231,10,1975,Letters,Evolution not Erosion,2,9,,,,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KD,1975.10.03L,Unknown,Cedar Rapids,IA,USA,,"Cedar Rapids, IA, USA","Cedar Rapids, IA, United States",41.97634125,-91.67375946,10,1975,Letters,"""Bill Me""",3,9,,,,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KD,1975.11.01L,Male,Glenview,IL,USA,,"Glenview, IL, USA","Glenview, IL, United States",42.0774498,-87.79856873,11,1975,Letters,A Bit of Nybbling at Bytes in a Word,1,84,Which Microprocessor is for you?,9.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,
KD,1975.11.02L,Male,Chicago,IL,USA,,"Chicago, IL, USA","Chicago, IL, United States",41.88425064,-87.63244629,11,1975,Letters,A bit of nybbling at bytes in a word,2,84,,,,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Amateur radio
KD,1975.11.03L,Male,Chelmsford,MA,USA,,"Chelmsford, MA, USA","Chelmsford, MA, United States",42.59827042,-71.34680176,11,1975,Letters,Who is Stephen B. Gray?,3,85,Amateur Computer Society,9.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
KD,1975.11.04L,Male,Albuquerque,NM,USA,,"Albuquerque, NM, USA","Albuquerque, NM, United States",35.08422852,-106.6490479,11,1975,Letters,Which microprocessor evaluator for you?,4,86,Which Microprocessor for you,9.0,1975.0,,,"Yes, the editors responded",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,
KD,1975.11.05L,"Three authors, presumably male, from a comp sci fraternity at RHIT",Terre Haute,IN,USA,47803,"Terre Haute, IN 47803, USA","Terre Haute, IN, United States",39.4664917,-87.41300964,11,1975,Letters,It's Greek to me...,5,87,,,,,,"Yes, the editors responded",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,
KD,1975.12.01L,Male,Fredericton,New Brunswick,Canada,E3A 2E9,"Fredericton, New Brunswick E3A 2E9, Canada","Fredericton, NB, Canada",45.96062851,-66.63910675,12,1975,Letters,Bit Collecting,1,102,Serial Interface,9.0,1975.0,35,,"No, they did not",0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,
KD,1975.12.02L,Unknown,Muskegon,MI,USA,,"Muskegon, MI, USA","Muskegon, MI, United States",43.23424911,-86.24479675,12,1975,Letters,Down on Earth?,2,102,,,,,,"Yes, the editors responded",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,
